A21;IGKJ1*01
A21;IGKJ2*01
A21;IGKJ3*01
A21;IGKJ4*01
A21;IGKJ5*01
A4a;IGKJ1*01
A4a;IGKJ2*01
A4a;IGKJ2*02
A4a;IGKJ2*03
A4a;IGKJ2*04
A4a;IGKJ3*01
A4a;IGKJ4*01
A4a;IGKJ4*02
A4a;IGKJ5*01
IGKV1-12*01;IGKJ1*01
IGKV1-12*01;IGKJ2*01
IGKV1-12*01;IGKJ2*02
IGKV1-12*01;IGKJ2*03
IGKV1-12*01;IGKJ2*04
IGKV1-12*01;IGKJ3*01
IGKV1-12*01;IGKJ4*01
IGKV1-12*01;IGKJ4*02
IGKV1-12*01;IGKJ5*01
IGKV1-12*02;IGKJ1*01
IGKV1-12*02;IGKJ2*01
IGKV1-12*02;IGKJ2*02
IGKV1-12*02;IGKJ2*03
IGKV1-12*02;IGKJ3*01
IGKV1-12*02;IGKJ4*01
IGKV1-12*02;IGKJ5*01
IGKV1-13*01;IGKJ1*01
IGKV1-13*01;IGKJ2*01
IGKV1-13*01;IGKJ2*02
IGKV1-13*01;IGKJ2*04
IGKV1-13*01;IGKJ3*01
IGKV1-13*01;IGKJ4*01
IGKV1-13*01;IGKJ4*02
IGKV1-13*01;IGKJ5*01
IGKV1-13*02;IGKJ1*01
IGKV1-13*02;IGKJ2*01
IGKV1-13*02;IGKJ2*03
IGKV1-13*02;IGKJ2*04
IGKV1-13*02;IGKJ3*01
IGKV1-13*02;IGKJ4*01
IGKV1-13*02;IGKJ5*01
IGKV1-16*01;IGKJ1*01
IGKV1-16*01;IGKJ2*01
IGKV1-16*01;IGKJ2*02
IGKV1-16*01;IGKJ2*03
IGKV1-16*01;IGKJ2*04
IGKV1-16*01;IGKJ3*01
IGKV1-16*01;IGKJ4*01
IGKV1-16*01;IGKJ4*02
IGKV1-16*01;IGKJ5*01
IGKV1-16*02;IGKJ4*01
IGKV1-17*01;IGKJ1*01
IGKV1-17*01;IGKJ2*01
IGKV1-17*01;IGKJ2*02
IGKV1-17*01;IGKJ2*03
IGKV1-17*01;IGKJ2*04
IGKV1-17*01;IGKJ3*01
IGKV1-17*01;IGKJ4*01
IGKV1-17*01;IGKJ5*01
IGKV1-17*02;IGKJ1*01
IGKV1-17*02;IGKJ2*01
IGKV1-17*02;IGKJ2*04
IGKV1-17*02;IGKJ3*01
IGKV1-17*02;IGKJ4*01
IGKV1-17*02;IGKJ5*01
IGKV1-33*01;IGKJ1*01
IGKV1-33*01;IGKJ2*01
IGKV1-33*01;IGKJ2*02
IGKV1-33*01;IGKJ2*03
IGKV1-33*01;IGKJ2*04
IGKV1-33*01;IGKJ3*01
IGKV1-33*01;IGKJ4*01
IGKV1-33*01;IGKJ4*02
IGKV1-33*01;IGKJ5*01
IGKV1-37*01;IGKJ1*01
IGKV1-37*01;IGKJ2*01
IGKV1-37*01;IGKJ2*04
IGKV1-37*01;IGKJ3*01
IGKV1-37*01;IGKJ4*01
IGKV1-37*01;IGKJ5*01
IGKV1-39*01;IGKJ1*01
IGKV1-39*01;IGKJ2*01
IGKV1-39*01;IGKJ2*02
IGKV1-39*01;IGKJ2*03
IGKV1-39*01;IGKJ2*04
IGKV1-39*01;IGKJ3*01
IGKV1-39*01;IGKJ4*01
IGKV1-39*01;IGKJ4*02
IGKV1-39*01;IGKJ5*01
IGKV1-5*01;IGKJ1*01
IGKV1-5*01;IGKJ2*01
IGKV1-5*01;IGKJ2*02
IGKV1-5*01;IGKJ2*03
IGKV1-5*01;IGKJ2*04
IGKV1-5*01;IGKJ3*01
IGKV1-5*01;IGKJ4*01
IGKV1-5*01;IGKJ5*01
IGKV1-6*01;IGKJ1*01
IGKV1-6*01;IGKJ2*01
IGKV1-6*01;IGKJ2*02
IGKV1-6*01;IGKJ2*03
IGKV1-6*01;IGKJ2*04
IGKV1-6*01;IGKJ3*01
IGKV1-6*01;IGKJ4*01
IGKV1-6*01;IGKJ4*02
